Company,Country,Email/Contact,Template,Fit,Status,Date contacted,Follow-up due,Notes
Firebrand Promotions,UK,sales@firebrandpromotions.co.uk,B (DCTS),High,SENT,2026-07-20,2026-07-23,B Corp merch; organic + RECYCLED POLYESTER. Fabric-flexible.
Essential Workwear,UK,essentialworkwear.com (form),B (DCTS),Medium,TO SEND,,,Workwear tees/polos/hoodies/fleece; organic + recycled poly.
Sustainable Better Merch,Sweden,order@sustainablebettermerch.com,A (EU),Medium,SENT,2026-07-20,2026-07-23,Band/festival merch tees & hoodies.
Vegan Outfitters,UK,info@veganoutfitters.com,B (DCTS),Medium,SENT,2026-07-20,2026-07-23,Vegan streetwear; organic + recycled cotton.
Picture Organic,France,picture-organic-clothing.com (form),A (EU),Medium,TO SEND,,,Outdoor; organic cotton + RECYCLED POLY. Larger buyer.
THTC,UK,uk.thtc.com (wholesale),B (DCTS),Medium,TO SEND,,,Streetwear + NGO/band white-label; hemp/cotton; makes in China now.
Synergies Worldwide,USA/India,synergiesworldwide.com (form),Agent,High,SENT,2026-07-20,2026-07-23,Large sourcing house (75+ brands). Sent via form.
Milky Fashions,Bangladesh,milkyfashions.com (form),Agent,High,SENT,2026-07-20,2026-07-23,Independent buying agent for EU/UK; London/Calgary. Sent via form.
Newtimes Group,Hong Kong,newtimesgroup.com (form),Agent,High,SENT,2026-07-20,2026-07-23,Knitwear supply to N.America/Europe brands. Sent via form.
Textiles Sourcing Ltd,Hong Kong/India,Delhi/Dhaka offices (form),Agent,Medium,SENT,2026-07-20,2026-07-23,Knit apparel for US + EU/UK importers. Sent via form.
Li & Fung,Hong Kong,lifung.com (form),Agent,Medium,SENT,2026-07-20,2026-07-23,Largest sourcing agent; knitwear vertical. Registered interest via form.
Gustav Daiber GmbH,Germany,info@daiber.de,A/B,High,SENT,2026-07-20,2026-07-23,Promotional/corporate blank knits for decoration: 
Promodoro Fashion GmbH,Germany,info@promodoro.de,A/B,High,SENT,2026-07-20,2026-07-23,Corporate-fashion and merchandising blanks: T-shir
Ernsting's family GmbH & Co. KG,Germany,info@ernstings-family.de,A/B,Medium,TO SEND,,,"Value family fashion for women/men/kids: T-shirts,"
Homeboy,Germany,service@homeboy.eu,A/B,Medium,SENT,2026-07-20,2026-07-23,"Heritage streetwear (since 1988): hoodies, sweatsh"
Falk & Ross Group Europe GmbH,Germany,de.sales@falk-ross.eu,A/B,High,SENT,2026-07-20,2026-07-23,Pan-European B2B distributor of blank/promotional 
TB International GmbH,Germany,info@tbint.de,Agent,High,SENT,2026-07-20,2026-07-23,"Streetwear/urban-fashion group: t-shirts, oversize"
L-SHOP-TEAM GmbH,Germany,info@l-shop-team.de,A/B,Medium,SENT,2026-07-20,2026-07-23,Germany's largest B2B promotional/leisure/workwear
HAKRO GmbH,Germany,kundenbeziehungen@hakro.com,A/B,Medium,SENT,2026-07-20,2026-07-23,Corporate-fashion / promotional workwear brand: po
Paul H. Kübler Bekleidungswerk GmbH & Co. KG,Germany,info@kuebler.eu,A/B,Medium,TO SEND,,,"Workwear brand: work/performance t-shirts, polos, "
Strauss,Germany,info@engelbert-strauss.de,Agent,Medium,TO SEND,,,Large workwear and safety-apparel brand: work t-sh
Pegador GmbH,Germany,support@pegador.com,Agent,High,SENT,2026-07-20,2026-07-23,"Oversized streetwear hoodies, tees, sweatshirts, t"
Project X Paris,France,rp.deal@projectxparis.fr,Agent,High,SENT,2026-07-20,2026-07-23,"Premium/accessible streetwear — tees, hoodies, swe"
Prohibited,Germany,support@prohibited.shop,A/B,Medium,TO SEND,,,"Streetwear — t-shirts, hoodies, crewnecks, sweatpa"
Tabassum Promotion & Merchandising GmbH,Germany,bestellung@tabassum.de,A/B,Medium,TO SEND,,,Wholesale band/merch & promotional apparel — print
HRM Textil GmbH,Germany,info@hrm-textil.de,A/B,Medium,TO SEND,,,"Corporate fashion, workwear and promotional wear: "
Falk&Ross Group Europe GmbH,Germany,info@falk-ross.de,A/B,Medium,SENT,2026-07-20,2026-07-23,B2B promotional and workwear textiles distributor 
Engelbert Strauss GmbH & Co. KG,Germany,info@engelbert-strauss.de,A/B,Medium,SENT,2026-07-20,2026-07-23,"Workwear and utility gear: work t-shirts, work pol"
Fashion LGP,France,contact@fashionlgp.com,Agent,High,SENT,2026-07-20,2026-07-23,Sourcing bureau / full-package developer of ready-
Grossiste Textile France,France,contact@grossistetextilefrance.fr,A/B,Medium,TO SEND,,,B2B wholesaler/distributor of blank apparel to res
Ness Paris,France,contact@ness_paris.fr,Agent,Low,TO SEND,,,"Ready-to-wear wholesaler (La Courneuve, Paris) sup"
