Tier,Company,Country,Email,Segment,Why,Status,Date sent,Follow-up due,Notes
6,Thought Clothing,UK,info@wearethought.com,Ladies + mens,Bamboo/organic knits,ALREADY IN TRACKER,,,Was on buyer-master-list
6,Lucy & Yak,UK,(contact page),Ladies + mens,Fast-growing DTC - India/Nepal-friendly ethos,VERIFY EMAIL,,,STRONG FIT - check
6,Seasalt Cornwall,UK,(contact page),Ladies,Mid-large - outsources,VERIFY EMAIL,,,
6,White Stuff,UK,(contact page),Ladies + mens,Mid-large,VERIFY EMAIL,,,
6,FatFace,UK,(contact page),Ladies + mens + kids,Mid-large,VERIFY EMAIL,,,
6,Joules,UK,(contact page),Ladies + mens + kids,Mid-large,VERIFY EMAIL,,,
6,Percival,UK,(contact page),Mens,Small London menswear,VERIFY EMAIL,,,
6,Wax London,UK,(contact page),Mens,Small London menswear,VERIFY EMAIL,,,
6,Kestin,UK,(contact page),Mens,Scottish menswear,VERIFY EMAIL,,,
6,Universal Works,UK,(contact page),Mens,Nottingham menswear,VERIFY EMAIL,,,
6,Oliver Spencer,UK,(contact page),Mens,London menswear,VERIFY EMAIL,,,
6,Community Clothing,UK,(contact page),Mens + ladies,UK-made focus - likely poor fit,VERIFY EMAIL,,,Made in UK ethos
6,Farah,UK,(contact page),Mens,Heritage brand,VERIFY EMAIL,,,
6,Ben Sherman,UK,(contact page),Mens,Heritage brand,VERIFY EMAIL,,,
6,Death & Friends,UK,(contact form only - no email),Streetwear,Underground streetwear,FORM ONLY,,,Verified: contact form only
6,Disturbia,UK,(contact page),Streetwear alt,Alt/underground,VERIFY EMAIL,,,
6,Heartless Clothing,UK,(contact page),Streetwear alt,Alt/underground,VERIFY EMAIL,,,
6,Long Clothing,UK,(contact page),Streetwear alt,Alt/underground,VERIFY EMAIL,,,
6,Drop Dead,UK,help@dropdead.co,Streetwear alt,Alt/underground,TO SEND,,,
6,Flow Like Zen,UK,(contact page),Streetwear,Emerging oversized streetwear,VERIFY EMAIL,,,Small - good MOQ fit
6,Cali Studios,UK,(contact page),Streetwear,Emerging,VERIFY EMAIL,,,Small - good MOQ fit
6,Phrase Studios,UK,phrase.studios@gmail.com,Streetwear,Emerging,TO SEND,,,Small - good MOQ fit
6,House of Tanera,UK,support@houseoftanera.uk,Activewear,Emerging activewear,TO SEND,,,
6,Naia Active,UK,(contact page),Activewear,Sportswear arm of Naia Beach,VERIFY EMAIL,,,
6,Oner Active,UK,(contact page),Activewear,Technical performance,VERIFY EMAIL,,,
6,Howies,UK,info@howies.co.uk,Activewear,Wales - organic/recycled,TO SEND,,,
7,Rapanui,UK,DO NOT SEND,-,Made on Isle of Wight - UK manufacturing IS the brand,WRONG SEGMENT,,,
7,Soma Sportswear,UK,DO NOT SEND,-,All manufacturing in London,WRONG SEGMENT,,,
7,Sole Ambition,UK,DO NOT SEND,-,100% British-made,WRONG SEGMENT,,,
7,Venus Cow,UK,DO NOT SEND,-,Made in England,WRONG SEGMENT,,,
7,Lacuna Child / JuJu / Sue Hill / Wild Things,UK,DO NOT SEND,-,British-made kidswear,WRONG SEGMENT,,,
7,Corteiz / Trapstar / Palace / Represent / Syna World,UK,DO NOT SEND,-,Hype brands - locked suppliers + will audit first,TOO BIG,,,
7,ASOS / AllSaints / Next / M&S / Primark / Boohoo,UK,DO NOT SEND,-,Require full audit + huge volume,TOO BIG,,,
8,Kylemark,UK,sales@kylemark.co.uk,Corporate workwear,In-house embroidery + print. Knitwear in range,TO SEND,,,Ayr. 0800 195 4900 / 01292 618344
8,JRS Industrial Supplies,UK,jrsindustrial.co.uk - find email,Workwear wholesale,Embroidered/printed workwear to construction healthcare hospitality,FIND EMAIL,,,
8,Corporatewear UK,UK,corporatewearuk.com - find email,Corporate workwear,25+ yrs embroidery and printing,FIND EMAIL,,,
8,The Staff Uniform Company,UK,sales@staffuniforms.co.uk,Uniform supplier,Designs + manufactures collections; bespoke,TO SEND,,,Designs own = buys blanks or cut-make
8,The Work Uniform Company,UK,sales@workuniformcompany.co.uk,Uniform supplier,70 yrs; branded workwear for major UK brands,TO SEND,,,
8,Red Oak Corporate Wear,UK,corporatewearltd.co.uk - find email,Corporate wear,30 yrs; 5000+ businesses served,FIND EMAIL,,,
8,EMJ Workwear,UK,sales@emjltd.com,Workwear + promo,Promotional and industrial workwear,TO SEND,,,Portsmouth
8,Cwear,UK,info@cwear.co.uk,Personalised workwear,Branded uniforms,TO SEND,,,
8,Corporate Clothing Wear,UK,sales@corporateclothingwear.com,Promo clothing,Printed + embroidered,TO SEND,,,
8,Aspect Workwear,UK,find domain + email,Workwear + promo,London workwear and promotional clothing,FIND EMAIL,,,
9,Printful,US/EU,printful.com - find sourcing contact,Print-on-demand,Buys blank tees/hoodies at very large volume,FIND EMAIL,,,Sources blanks globally - high volume
9,Printify,US/EU,printify.com - find sourcing contact,Print-on-demand,Network of print providers buying blanks,FIND EMAIL,,,
9,Gelato,NO/EU,gelato.com - find sourcing contact,Print-on-demand,Global POD network,FIND EMAIL,,,
9,Apliiq,US,apliiq.com - find sourcing contact,Print-on-demand,Custom apparel POD,FIND EMAIL,,,
9,Prodigi,UK,sales@prodigi.com,Print-on-demand,UK-based global POD,TO SEND,,,
9,T-Shirt & Sons,UK,tshirtandsons.co.uk - find email,Print-on-demand,UK POD - large blanks buyer,FIND EMAIL,,,Strong UK fit
9,Inkthreadable,UK,info@inkthreadable.co.uk,Print-on-demand,UK POD,TO SEND,,,Strong UK fit
9,Contrado,UK,contrado.com - find email,Print-on-demand,UK custom apparel,FIND EMAIL,,,
9,Teemill,UK,DO NOT SEND,-,Rapanui's platform - UK/organic made is the brand,WRONG SEGMENT,,,
